,,l-League,l-Year,l-Rank,l-Rank_SC,l-W_SC,l-D_SC,l-L_SC,l-+/-_SC,l-Pts_SC,l-Goals_For_SC,l-Goals_Against_SC,l-VRank_SC,l-Avg_Player_Value_(m)_SC,l-Value_(m)_SC,l-Squad_SC,l-Avg_Age_SC,l-Foreigners_SC,League,Year,Rank,Rank_SC,W_SC,D_SC,L_SC,+/-_SC,Pts_SC,Goals_For_SC,Goals_Against_SC,VRank_SC,Avg_Player_Value_(m)_SC,Value_(m)_SC,Squad_SC,Avg_Age_SC,Foreigners_SC
United Kingdom,Chelsea FC,GB1,2005.0,1.0,0.05,0.7631578947368421,0.21052631578947367,0.02631578947368421,1.5,2.5,1.894736842105263,0.39473684210526316,0.05,2.992725642907599,2.552378363813314,-0.5035874593086613,-1.153756232993382,0.7759374080076515,GB1,2006.0,1.0,0.05,0.7631578947368421,0.10526315789473684,0.13157894736842105,1.3157894736842106,2.3947368421052633,1.894736842105263,0.5789473684210527,0.05,3.304965452838441,2.950832842877194,-0.9684002494125037,-0.9585643324362741,0.2056127748622535
United Kingdom,Arsenal FC,GB1,2005.0,2.0,0.1,0.6578947368421053,0.21052631578947367,0.13157894736842105,1.3421052631578947,2.1842105263157894,2.289473684210526,0.9473684210526315,0.15,1.3349234840376623,1.5508901265728068,0.9017728922503946,-2.0245156541204605,1.8388653641825172,GB1,2006.0,4.0,0.2,0.5263157894736842,0.18421052631578946,0.2894736842105263,0.9736842105263158,1.763157894736842,1.7894736842105263,0.8157894736842105,0.15,1.0295818215148569,1.362243029283677,1.4526003741187579,-1.9675794192113027,2.1535232735572882
United Kingdom,Manchester United,GB1,2005.0,3.0,0.15,0.5789473684210527,0.2894736842105263,0.13157894736842105,0.8421052631578947,2.026315789473684,1.5263157894736843,0.6842105263157895,0.1,1.8516947305681912,2.0989346484434113,0.9017728922503946,-1.327908117218797,0.9885229992426247,GB1,2006.0,2.0,0.1,0.6578947368421053,0.21052631578947367,0.13157894736842105,1.0,2.1842105263157894,1.894736842105263,0.8947368421052632,0.1,1.5018312544310723,1.6318549541689231,0.41502867831964585,-0.9585643324362741,0.2056127748622535
United Kingdom,Everton FC,GB1,2005.0,4.0,0.2,0.47368421052631576,0.18421052631578946,0.34210526315789475,-0.02631578947368421,1.605263157894737,1.1842105263157894,1.2105263157894737,0.6,-0.28980531505432044,-0.49666016149751036,-1.440494360348032,0.936066377711609,-0.9247473218721334,GB1,2006.0,11.0,0.55,0.3684210526315789,0.21052631578947367,0.42105263157894735,-0.39473684210526316,1.3157894736842106,0.8947368421052632,1.2894736842105263,0.4,-0.25056540159686824,-0.3270422942332744,-0.6225430174794663,0.8760085526092299,-0.22725622484775418
United Kingdom,Liverpool FC,GB1,2005.0,5.0,0.25,0.4473684210526316,0.18421052631578946,0.3684210526315789,0.2894736842105263,1.5263157894736843,1.368421052631579,1.0789473684210527,0.2,0.991787376341391,1.2560628010499442,1.1359996175102371,-0.8054524645425485,1.2011085904775978,GB1,2006.0,3.0,0.15,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.8421052631578947,2.1578947368421053,1.5,0.6578947368421053,0.2,0.8617576428752097,1.1686071389615986,1.4526003741187579,-1.325478909445377,1.5042197739922765
United Kingdom,Bolton Wanderers,GB1,2005.0,6.0,0.3,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.13157894736842105,1.5263157894736843,1.2894736842105263,1.1578947368421053,0.75,-0.5213188334999974,-0.6235058544245159,-0.9720409098283467,1.980977683064103,-0.07440495693224089,GB1,2006.0,8.0,0.4,0.39473684210526316,0.2894736842105263,0.3157894736842105,0.21052631578947367,1.4736842105263157,1.2894736842105263,1.0789473684210527,0.9,-0.6681744042583151,-0.7035295978820204,-0.2766857855464289,0.41736533134785386,0.6384817745722612
United Kingdom,Middlesbrough FC,GB1,2005.0,7.0,0.35,0.3684210526315789,0.34210526315789475,0.2894736842105263,0.18421052631578946,1.4473684210526316,1.394736842105263,1.2105263157894737,0.45,-0.27740280513758786,-0.3229882548264233,-0.2693607340488187,-0.021768985528178825,-1.5625040955770528,GB1,2006.0,14.0,0.7,0.3157894736842105,0.23684210526315788,0.4473684210526316,-0.2631578947368421,1.1842105263157894,1.263157894736842,1.5263157894736843,0.35,-0.4769328983666245,-0.30935090500484935,2.1443148379848327,-0.5916497554271747,-0.44369072470275805
United Kingdom,Manchester City,GB1,2005.0,8.0,0.4,0.34210526315789475,0.34210526315789475,0.3157894736842105,0.21052631578947367,1.368421052631579,1.236842105263158,1.0263157894736843,0.4,-0.281536975109832,-0.2593283136097861,0.1990927164708666,0.32653478292265453,0.13818063430273222,GB1,2006.0,15.0,0.75,0.34210526315789475,0.10526315789473684,0.5526315789473685,-0.13157894736842105,1.131578947368421,1.131578947368421,1.263157894736842,0.45,-0.3013029439762963,-0.339402031913407,-0.2766857855464289,-0.041277889913522145,-0.6601252245577619
United Kingdom,Tottenham Hotspur,GB1,2005.0,9.0,0.45,0.3684210526315789,0.2631578947368421,0.3684210526315789,0.15789473684210525,1.368421052631579,1.236842105263158,1.0789473684210527,0.25,-0.00454758696946852,0.13128529217945054,0.9017728922503946,-0.9796043487679637,0.13818063430273222,GB1,2006.0,5.0,0.25,0.47368421052631576,0.2894736842105263,0.23684210526315788,0.39473684210526316,1.7105263157894737,1.394736842105263,1.0,0.25,0.4597601917151256,0.417086618450005,-0.2766857855464289,-0.041277889913522145,-0.8765597244127658
United Kingdom,Aston Villa,GB1,2005.0,10.0,0.5,0.3157894736842105,0.2894736842105263,0.39473684210526316,-0.18421052631578946,1.236842105263158,1.1842105263157894,1.368421052631579,0.55,-0.08723098641435303,-0.3792982586958884,-1.6747210856078747,-0.8925284066552576,-0.9247473218721334,GB1,2006.0,16.0,0.8,0.2631578947368421,0.3157894736842105,0.42105263157894735,-0.34210526315789475,1.105263157894737,1.105263157894737,1.4473684210526316,0.5,-0.26227406522289004,-0.3745424625726077,-0.9684002494125037,-0.5916497554271747,-0.6601252245577619
United Kingdom,Charlton Athletic,GB1,2005.0,11.0,0.55,0.3157894736842105,0.2631578947368421,0.42105263157894735,-0.42105263157894735,1.2105263157894737,1.105263157894737,1.5263157894736843,0.85,-0.5089163235832647,-0.6920262380804123,-1.6747210856078747,0.6748385513734848,-1.1373329131071066,GB1,2006.0,13.0,0.65,0.34210526315789475,0.21052631578947367,0.4473684210526316,-0.3684210526315789,1.236842105263158,1.0789473684210527,1.4473684210526316,0.6,-0.5276704407460526,-0.45415371410052074,1.1067431421857206,0.1421793985910276,0.2056127748622535
United Kingdom,Birmingham City,GB1,2005.0,12.0,0.6,0.2894736842105263,0.3157894736842105,0.39473684210526316,-0.15789473684210525,1.1842105263157894,1.0526315789473684,1.2105263157894737,0.35,-0.24432944535963397,-0.1208649777791856,0.9017728922503946,0.32653478292265453,0.13818063430273222,GB1,2006.0,18.0,0.9,0.21052631578947367,0.2631578947368421,0.5263157894736842,-0.5789473684210527,0.8947368421052632,0.7368421052631579,1.3157894736842106,0.65,-0.45351557111458074,-0.46142414803001064,0.06917144638660845,0.6008226198524036,-0.44369072470275805
United Kingdom,Fulham FC,GB1,2005.0,13.0,0.65,0.3157894736842105,0.21052631578947367,0.47368421052631576,-0.21052631578947367,1.1578947368421053,1.368421052631579,1.5789473684210527,0.7,-0.6329414227505916,-0.6039455372909122,0.1990927164708666,0.1523828986972363,0.5633518167726784,GB1,2006.0,12.0,0.6,0.3684210526315789,0.15789473684210525,0.47368421052631576,-0.2631578947368421,1.263157894736842,1.263157894736842,1.5263157894736843,0.7,-0.5823108710008214,-0.5941095672431992,0.06917144638660845,1.2429231296183294,0.854916274427265
United Kingdom,Newcastle United,GB1,2005.0,14.0,0.7,0.2631578947368421,0.3684210526315789,0.3684210526315789,-0.2631578947368421,1.1578947368421053,1.236842105263158,1.5,0.3,0.19802674167049888,0.1152813963428658,-0.2693607340488187,-0.2829968118663031,-1.1373329131071066,GB1,2006.0,7.0,0.35,0.4473684210526316,0.18421052631578946,0.3684210526315789,0.13157894736842105,1.5263157894736843,1.236842105263158,1.105263157894737,0.3,0.41292553721103803,0.3704346674024453,-0.2766857855464289,0.1421793985910276,-1.5258632239777772
