Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,RCD Espanyol Barcelona,37,24.2,7,2.16,80.0,ES2,2021
2,UD Almería,35,24.2,17,2.02,70.6,ES2,2021
3,RCD Mallorca,39,25.5,13,1.31,50.95,ES2,2021
4,Girona FC,40,24.7,13,0.908,36.33,ES2,2021
5,CD Leganés,39,26.2,10,0.884,34.48,ES2,2021
6,Rayo Vallecano,36,25.5,11,0.829,29.85,ES2,2021
7,Sporting Gijón,37,24.5,6,0.646,23.9,ES2,2021
8,Real Zaragoza,38,24.7,12,0.609,23.15,ES2,2021
9,UD Las Palmas,42,24.8,8,0.485,20.35,ES2,2021
10,Málaga CF,48,23.7,15,0.422,20.28,ES2,2021
11,CD Mirandés,35,23.7,7,0.474,16.6,ES2,2021
12,CF Fuenlabrada,34,24.6,10,0.435,14.8,ES2,2021
13,CD Tenerife,38,25.5,10,0.361,13.7,ES2,2021
14,Real Oviedo,34,25.2,6,0.399,13.55,ES2,2021
15,FC Cartagena,43,27.0,14,0.305,13.1,ES2,2021
16,SD Ponferradina,34,25.2,8,0.338,11.5,ES2,2021
17,Albacete Balompié,36,25.9,11,0.282,10.15,ES2,2021
18,CD Castellón,36,27.4,4,0.278,10.0,ES2,2021
19,UD Logroñés,36,26.3,6,0.264,9.5,ES2,2021
20,CD Lugo,36,25.9,7,0.245,8.83,ES2,2021
21,AD Alcorcón,34,26.0,9,0.247,8.4,ES2,2021
22,CE Sabadell FC,33,26.5,2,0.217,7.15,ES2,2021
