VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Paris Saint-Germain,29,25.1,17,36.79,1070.0,FR1,2024
2,AS Monaco,27,23.7,18,12.77,344.8,FR1,2024
3,Stade Rennais FC,25,24.1,10,11.22,280.5,FR1,2024
4,Olympique Marseille,25,25.4,21,9.95,248.8,FR1,2024
5,OGC Nice,30,23.7,15,8.17,245.1,FR1,2024
6,LOSC Lille,25,25.2,17,9.06,226.6,FR1,2024
7,RC Lens,29,25.7,15,7.33,212.55,FR1,2024
8,Olympique Lyon,27,24.8,15,7.13,192.4,FR1,2024
9,RC Strasbourg Alsace,27,24.1,14,4.81,129.85,FR1,2024
10,FC Nantes,28,25.5,15,4.05,113.4,FR1,2024
11,Stade Reims,24,24.7,18,4.62,110.95,FR1,2024
12,FC Lorient,30,24.7,14,3.7,110.9,FR1,2024
13,Montpellier HSC,24,25.0,12,3.98,95.45,FR1,2024
14,FC Toulouse,30,22.8,23,2.65,79.35,FR1,2024
15,Stade Brestois 29,25,25.5,7,3.11,77.65,FR1,2024
16,Le Havre AC,30,24.9,17,1.89,56.6,FR1,2024
17,Clermont Foot 63,24,26.4,15,2.16,51.75,FR1,2024
18,FC Metz,30,24.7,22,1.25,37.55,FR1,2024
