Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Toulouse,33,23.2,22,1.67,55.05,FR2,2022
2,AC Le Havre,36,23.6,15,0.869,31.3,FR2,2022
3,Nîmes Olympique,30,24.2,14,1.0,30.13,FR2,2022
4,Amiens SC,39,24.2,20,0.732,28.55,FR2,2022
5,SM Caen,36,24.4,14,0.786,28.3,FR2,2022
6,Dijon FCO,37,25.5,19,0.747,27.65,FR2,2022
7,Paris FC,40,24.2,17,0.654,26.15,FR2,2022
8,AJ Auxerre,32,25.0,11,0.767,24.55,FR2,2022
9,AC Ajaccio,31,25.5,13,0.787,24.4,FR2,2022
10,FC Sochaux-Montbéliard,31,23.8,13,0.74,22.95,FR2,2022
11,EA Guingamp,35,24.3,12,0.651,22.8,FR2,2022
12,Valenciennes FC,37,24.9,13,0.615,22.75,FR2,2022
13,Chamois Niortais FC,33,23.1,13,0.636,21.0,FR2,2022
14,Grenoble Foot 38,39,26.3,19,0.441,17.2,FR2,2022
15,Pau FC,30,25.3,9,0.565,16.95,FR2,2022
16,AS Nancy-Lorraine,35,23.9,17,0.473,16.55,FR2,2022
17,Quevilly Rouen Métropole,38,25.4,14,0.405,15.4,FR2,2022
18,Rodez AF,31,25.0,7,0.456,14.15,FR2,2022
19,USL Dunkerque,35,26.7,7,0.397,13.9,FR2,2022
20,SC Bastia,32,27.5,8,0.419,13.4,FR2,2022
