Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Southampton FC,47,25.4,30,1.31,61.63,GB2,2006
2,Wolverhampton Wanderers,37,26.2,21,1.56,57.6,GB2,2006
3,Norwich City,34,25.7,16,1.37,46.7,GB2,2006
4,Crystal Palace,32,25.1,16,1.25,40.03,GB2,2006
5,Leeds United,35,26.0,16,0.916,32.05,GB2,2006
6,Sheffield United,46,26.3,16,0.683,31.4,GB2,2006
7,Derby County,45,26.2,21,0.642,28.88,GB2,2006
8,Cardiff City,34,25.5,24,0.755,25.68,GB2,2006
9,Leicester City,37,24.4,24,0.645,23.85,GB2,2006
10,Stoke City,35,25.3,21,0.614,21.5,GB2,2006
11,Preston North End,38,25.4,13,0.543,20.63,GB2,2006
12,Millwall FC,42,25.3,19,0.463,19.45,GB2,2006
13,Coventry City,38,25.9,17,0.461,17.53,GB2,2006
14,Watford FC,40,23.9,19,0.432,17.28,GB2,2006
15,Sheffield Wednesday,43,23.8,23,0.394,16.93,GB2,2006
16,Reading FC,33,23.7,19,0.507,16.73,GB2,2006
17,Ipswich Town,36,24.2,20,0.446,16.05,GB2,2006
18,Burnley FC,31,26.4,16,0.471,14.6,GB2,2006
19,Plymouth Argyle,34,25.3,14,0.404,13.73,GB2,2006
20,Queens Park Rangers,43,25.1,14,0.312,13.43,GB2,2006
21,Luton Town,30,24.8,14,0.371,11.13,GB2,2006
22,Hull City,38,24.9,14,0.236,8.98,GB2,2006
23,Crewe Alexandra,40,23.2,10,0.197,7.88,GB2,2006
24,Brighton & Hove Albion,35,23.5,15,0.157,5.5,GB2,2006
