VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Leicester City,28,25.9,17,9.0,252.0,GB2,2024
2,Southampton FC,25,24.7,14,8.75,218.8,GB2,2024
3,Leeds United,30,24.4,17,6.83,204.9,GB2,2024
4,Norwich City,28,26.4,18,2.61,73.05,GB2,2024
5,Sunderland AFC,30,22.4,14,2.37,71.0,GB2,2024
6,Hull City,28,24.3,17,2.42,67.88,GB2,2024
7,Middlesbrough FC,27,25.5,13,2.47,66.75,GB2,2024
8,Watford FC,23,25.5,16,2.87,66.0,GB2,2024
9,Swansea City,29,25.0,13,2.27,65.75,GB2,2024
10,West Bromwich Albion,26,26.8,11,2.41,62.65,GB2,2024
11,Coventry City,24,25.9,10,2.32,55.7,GB2,2024
12,Blackburn Rovers,27,23.4,10,2.02,54.5,GB2,2024
13,Cardiff City,26,26.3,16,1.97,51.1,GB2,2024
14,Birmingham City,27,25.7,12,1.86,50.35,GB2,2024
15,Stoke City,28,26.0,20,1.74,48.63,GB2,2024
16,Preston North End,31,25.1,20,1.48,45.95,GB2,2024
17,Millwall FC,24,26.7,12,1.85,44.3,GB2,2024
18,Queens Park Rangers,24,26.4,15,1.49,35.65,GB2,2024
19,Ipswich Town,29,26.1,14,1.2,34.9,GB2,2024
20,Bristol City,26,25.3,13,1.32,34.4,GB2,2024
21,Huddersfield Town,26,25.9,9,1.21,31.45,GB2,2024
22,Plymouth Argyle,30,23.5,9,0.749,22.48,GB2,2024
23,Rotherham United,28,27.0,10,0.741,20.75,GB2,2024
24,Sheffield Wednesday,28,27.6,14,0.655,18.35,GB2,2024
