Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SSC Napoli,27,26.1,19,23.3,629.0,IT1,2023
2,AC Milan,30,26.9,24,18.24,547.25,IT1,2023
3,Inter Milan,27,28.3,16,19.79,534.45,IT1,2023
4,Juventus FC,28,26.9,17,15.03,420.7,IT1,2023
5,Atalanta BC,25,26.4,17,13.18,329.5,IT1,2023
6,AS Roma,28,26.0,19,11.33,317.15,IT1,2023
7,SS Lazio,27,26.9,17,10.18,274.9,IT1,2023
8,ACF Fiorentina,26,26.3,14,9.09,236.3,IT1,2023
9,US Sassuolo,26,25.7,15,6.59,171.4,IT1,2023
10,Torino FC,28,24.6,23,6.05,169.53,IT1,2023
11,Udinese Calcio,27,25.4,22,5.3,143.05,IT1,2023
12,Bologna FC 1909,30,25.6,20,4.52,135.7,IT1,2023
13,AC Monza,30,26.6,9,3.82,114.7,IT1,2023
14,FC Empoli,30,25.1,14,3.44,103.3,IT1,2023
15,US Salernitana 1919,27,26.7,17,3.69,99.68,IT1,2023
16,US Lecce,31,24.5,19,3.04,94.13,IT1,2023
17,Spezia Calcio,29,25.7,22,2.98,86.3,IT1,2023
18,Hellas Verona,29,26.2,18,2.93,84.85,IT1,2023
19,UC Sampdoria,29,26.4,17,2.46,71.45,IT1,2023
20,US Cremonese,26,26.0,12,2.5,64.9,IT1,2023
