VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Parma Calcio 1913,30,24.6,24,1.79,53.65,IT2,2024
2,Spezia Calcio,30,23.8,16,1.39,41.65,IT2,2024
3,US Cremonese,30,26.6,10,1.37,41.13,IT2,2024
4,UC Sampdoria,29,24.4,9,1.13,32.78,IT2,2024
5,Palermo FC,26,26.3,10,1.24,32.3,IT2,2024
6,Pisa Sporting Club,32,26.8,14,0.957,30.63,IT2,2024
7,Como 1907,28,26.8,10,1.03,28.9,IT2,2024
8,Venezia FC,27,25.6,18,0.993,26.8,IT2,2024
9,SSC Bari,30,26.3,10,0.786,23.59,IT2,2024
10,Brescia Calcio,30,24.2,7,0.593,17.8,IT2,2024
11,AC Reggiana 1919,28,26.1,8,0.61,17.08,IT2,2024
12,Modena FC,27,25.7,5,0.62,16.75,IT2,2024
13,US Catanzaro,27,26.0,7,0.597,16.13,IT2,2024
14,Ascoli Calcio,29,25.2,10,0.552,16.0,IT2,2024
15,Cosenza Calcio,27,24.7,3,0.562,15.18,IT2,2024
16,FC Südtirol,26,26.1,4,0.512,13.3,IT2,2024
17,Ternana Calcio,25,25.5,9,0.516,12.9,IT2,2024
18,Feralpisalò,31,25.8,6,0.402,12.45,IT2,2024
19,AS Cittadella,29,25.1,2,0.403,11.7,IT2,2024
20,Calcio Lecco 1912,30,26.6,5,0.302,9.05,IT2,2024
