Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Bayern Munich,29,27.6,14,6.04,175.3,L1,2005
2,SV Werder Bremen,29,25.0,14,3.4,98.48,L1,2005
3,Bayer 04 Leverkusen,32,24.8,15,2.72,86.93,L1,2005
4,FC Schalke 04,33,25.6,16,2.62,86.33,L1,2005
5,VfB Stuttgart,31,25.5,14,2.56,79.5,L1,2005
6,Borussia Dortmund,36,24.5,18,2.18,78.33,L1,2005
7,Hertha BSC,30,26.3,14,2.39,71.78,L1,2005
8,Hamburger SV,31,24.9,16,2.12,65.6,L1,2005
9,VfL Wolfsburg,28,27.3,18,2.12,59.3,L1,2005
10,Borussia Mönchengladbach,37,27.2,19,1.33,49.18,L1,2005
11,Hannover 96,35,26.1,23,1.23,42.98,L1,2005
12,1.FC Nuremberg,29,25.6,12,1.2,34.9,L1,2005
13,1.FC Kaiserslautern,32,26.6,14,1.05,33.75,L1,2005
14,VfL Bochum,33,26.3,22,0.952,31.4,L1,2005
15,FC Hansa Rostock,28,27.5,14,0.925,25.9,L1,2005
16,Arminia Bielefeld,35,25.9,17,0.704,24.65,L1,2005
17,SC Freiburg,32,25.8,19,0.701,22.43,L1,2005
18,1.FSV Mainz 05,32,27.6,7,0.523,16.73,L1,2005
