VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Hamburger SV,29,24.2,19,1.51,43.73,L2,2024
2,Hertha BSC,32,24.0,14,1.23,39.23,L2,2024
3,FC Schalke 04,29,26.8,12,1.14,33.15,L2,2024
4,Fortuna Düsseldorf,24,24.9,8,1.22,29.38,L2,2024
5,Hannover 96,28,25.0,5,1.04,29.08,L2,2024
6,1.FC Nuremberg,32,25.3,9,0.816,26.13,L2,2024
7,FC St. Pauli,25,26.6,15,0.952,23.8,L2,2024
8,SpVgg Greuther Fürth,26,24.1,9,0.875,22.75,L2,2024
9,1.FC Kaiserslautern,29,26.5,8,0.766,22.2,L2,2024
10,Holstein Kiel,28,25.0,6,0.789,22.1,L2,2024
11,SC Paderborn 07,30,24.5,4,0.585,17.55,L2,2024
12,1.FC Magdeburg,29,25.6,14,0.595,17.25,L2,2024
13,FC Hansa Rostock,31,25.2,11,0.517,16.03,L2,2024
14,SV 07 Elversberg,29,26.3,6,0.542,15.73,L2,2024
15,Karlsruher SC,25,26.9,6,0.626,15.65,L2,2024
16,Eintracht Braunschweig,31,26.1,12,0.459,14.23,L2,2024
17,VfL Osnabrück,29,25.4,4,0.453,13.13,L2,2024
18,SV Wehen Wiesbaden,29,25.3,14,0.434,12.6,L2,2024
