Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Ajax Amsterdam,27,23.1,10,4.41,119.2,NL1,2016
2,PSV Eindhoven,28,23.8,10,4.25,119.1,NL1,2016
3,Feyenoord Rotterdam,31,24.0,11,2.34,72.45,NL1,2016
4,AZ Alkmaar,35,23.2,16,1.39,48.73,NL1,2016
5,Twente Enschede FC,33,22.2,21,1.45,47.78,NL1,2016
6,Vitesse Arnhem,31,23.1,22,1.15,35.53,NL1,2016
7,FC Utrecht,36,22.5,15,0.884,31.83,NL1,2016
8,FC Groningen,32,24.0,13,0.961,30.75,NL1,2016
9,SC Heerenveen,33,22.2,13,0.877,28.95,NL1,2016
10,PEC Zwolle,39,22.6,14,0.612,23.85,NL1,2016
11,Willem II Tilburg,35,25.5,18,0.64,22.4,NL1,2016
12,NEC Nijmegen,31,25.0,18,0.674,20.9,NL1,2016
13,ADO Den Haag,29,24.8,12,0.665,19.28,NL1,2016
14,Heracles Almelo,28,24.8,7,0.647,18.13,NL1,2016
15,Roda JC Kerkrade,40,25.5,21,0.433,17.3,NL1,2016
16,SC Cambuur Leeuwarden,36,24.7,13,0.399,14.35,NL1,2016
17,Excelsior Rotterdam,28,25.2,6,0.418,11.7,NL1,2016
18,De Graafschap Doetinchem,30,22.8,7,0.302,9.05,NL1,2016
