VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,Feyenoord Rotterdam,27,23.8,14,9.84,265.65,NL1,2024
2,PSV Eindhoven,27,24.7,14,8.48,228.93,NL1,2024
3,Ajax Amsterdam,29,22.8,16,6.43,186.55,NL1,2024
4,AZ Alkmaar,28,23.1,10,3.47,97.2,NL1,2024
5,Twente Enschede FC,26,24.0,10,2.09,54.38,NL1,2024
6,FC Utrecht,27,24.9,14,1.62,43.65,NL1,2024
7,SC Heerenveen,23,24.1,11,1.33,30.48,NL1,2024
8,NEC Nijmegen,28,23.8,11,0.947,26.53,NL1,2024
9,Sparta Rotterdam,24,24.5,13,1.09,26.05,NL1,2024
10,Vitesse Arnhem,27,23.4,11,0.928,25.05,NL1,2024
11,Excelsior Rotterdam,29,23.0,12,0.717,20.8,NL1,2024
12,Fortuna Sittard,24,25.0,17,0.823,19.75,NL1,2024
13,Go Ahead Eagles,27,24.1,10,0.571,15.43,NL1,2024
14,PEC Zwolle,26,24.9,11,0.578,15.03,NL1,2024
15,Almere City FC,27,24.7,14,0.551,14.88,NL1,2024
16,Heracles Almelo,30,23.7,14,0.496,14.88,NL1,2024
17,FC Volendam,30,22.3,15,0.429,12.88,NL1,2024
18,RKC Waalwijk,27,25.3,13,0.439,11.85,NL1,2024
