Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica,34,25.4,15,3.56,121.05,PO1,2006
2,FC Porto,34,24.0,17,3.41,116.0,PO1,2006
3,Sporting CP,37,25.2,13,2.77,102.4,PO1,2006
4,SC Braga,38,25.8,16,1.06,40.35,PO1,2006
5,Vitória Guimarães SC,31,25.9,18,0.792,24.55,PO1,2006
6,CF Os Belenenses,25,27.1,10,0.874,21.85,PO1,2006
7,União de Leiria,26,26.6,16,0.69,17.95,PO1,2006
8,Boavista FC,30,25.9,11,0.552,16.55,PO1,2006
9,CD Nacional,28,26.5,17,0.563,15.75,PO1,2006
10,CS Marítimo,38,25.4,29,0.357,13.55,PO1,2006
11,Académica Coimbra,28,25.9,16,0.473,13.25,PO1,2006
12,Gil Vicente FC,28,25.7,12,0.425,11.9,PO1,2006
13,Vitória Setúbal FC,32,25.2,16,0.365,11.67,PO1,2006
14,Rio Ave FC,27,27.0,13,0.384,10.38,PO1,2006
15,Clube Futebol Estrela da Amadora,32,25.2,10,0.303,9.7,PO1,2006
16,FC Penafiel,31,26.9,19,0.308,9.55,PO1,2006
17,FC Paços de Ferreira,29,26.6,10,0.259,7.5,PO1,2006
18,Naval 1º de Maio,27,26.5,17,0.196,5.3,PO1,2006
