VRank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,SL Benfica,25,25.2,15,14.39,359.63,PO1,2024
2,FC Porto,28,26.1,18,10.32,289.0,PO1,2024
3,Sporting CP,27,24.6,13,10.38,280.3,PO1,2024
4,SC Braga,26,27.3,15,4.85,126.2,PO1,2024
5,FC Famalicão,27,23.3,19,1.64,44.3,PO1,2024
6,Vitória Guimarães SC,30,24.8,13,1.2,36.1,PO1,2024
7,Boavista FC,28,24.1,14,1.07,29.9,PO1,2024
8,FC Arouca,28,25.4,21,0.77,21.55,PO1,2024
9,Gil Vicente FC,28,24.4,17,0.77,21.55,PO1,2024
10,GD Estoril Praia,29,24.3,17,0.726,21.05,PO1,2024
11,Portimonense SC,27,24.2,20,0.639,17.25,PO1,2024
12,Moreirense FC,26,25.4,17,0.637,16.55,PO1,2024
13,FC Vizela,26,24.8,19,0.63,16.38,PO1,2024
14,GD Chaves,28,25.9,15,0.526,14.73,PO1,2024
15,Rio Ave FC,25,27.3,11,0.572,14.3,PO1,2024
16,Casa Pia AC,27,25.4,15,0.508,13.73,PO1,2024
17,SC Farense,28,27.5,15,0.424,11.88,PO1,2024
18,CF Estrela Amadora SAD,27,26.4,19,0.412,11.13,PO1,2024
