Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Cádiz CF,42,21,13,8,68:30,38,76,ES2,2005
2,Celta de Vigo,42,22,10,10,55:38,17,76,ES2,2005
3,Deportivo Alavés,42,23,7,12,61:46,15,76,ES2,2005
4,SD Eibar,42,20,13,9,53:39,14,73,ES2,2005
5,Recreativo Huelva,42,19,14,9,48:32,16,71,ES2,2005
6,Real Valladolid CF,42,18,9,15,56:56,0,63,ES2,2005
7,Gimnàstic de Tarragona,42,16,12,14,49:45,4,60,ES2,2005
8,Xerez CD,42,14,17,11,39:36,3,59,ES2,2005
9,CD Tenerife,42,13,18,11,43:47,-4,57,ES2,2005
10,Elche CF,42,16,9,17,51:52,-1,57,ES2,2005
11,Sporting Gijón,42,15,12,15,41:39,2,57,ES2,2005
12,Real Murcia CF,42,15,9,18,42:53,-11,54,ES2,2005
13,UD Almería,42,13,12,17,36:44,-8,51,ES2,2005
14,Málaga CF B,42,13,12,17,32:48,-16,51,ES2,2005
15,Polideportivo Ejido,42,11,17,14,40:45,-5,50,ES2,2005
16,Racing Ferrol,42,12,13,17,55:54,1,49,ES2,2005
17,UE Lleida,42,12,11,19,44:54,-10,47,ES2,2005
18,Ciudad de Murcia,42,10,17,15,49:57,-8,47,ES2,2005
19,Córdoba CF,42,12,10,20,43:52,-9,46,ES2,2005
20,Pontevedra CF,42,10,15,17,52:59,-7,45,ES2,2005
21,Terrassa FC,42,12,8,22,45:63,-18,44,ES2,2005
22,UD Salamanca,42,12,8,22,50:63,-13,44,ES2,2005
