Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Paris Saint-Germain,38,24,11,3,83:36,47,83,FR1,2015
2,Olympique Lyon,38,22,9,7,72:33,39,75,FR1,2015
3,AS Monaco,38,20,11,7,51:26,25,71,FR1,2015
4,Olympique Marseille,38,21,6,11,76:42,34,69,FR1,2015
5,AS Saint-Étienne,38,19,12,7,51:30,21,69,FR1,2015
6,FC Girondins Bordeaux,38,17,12,9,47:44,3,63,FR1,2015
7,Montpellier HSC,38,16,8,14,46:39,7,56,FR1,2015
8,LOSC Lille,38,16,8,14,43:42,1,56,FR1,2015
9,Stade Rennais FC,38,13,11,14,35:42,-7,50,FR1,2015
10,EA Guingamp,38,15,4,19,41:55,-14,49,FR1,2015
11,OGC Nice,38,13,9,16,44:53,-9,48,FR1,2015
12,SC Bastia,38,12,11,15,37:46,-9,47,FR1,2015
13,SM Caen,38,12,10,16,54:55,-1,46,FR1,2015
14,FC Nantes,38,11,12,15,29:40,-11,45,FR1,2015
15,Stade Reims,38,12,8,18,47:66,-19,44,FR1,2015
16,FC Lorient,38,12,7,19,44:50,-6,43,FR1,2015
17,FC Toulouse,38,12,6,20,43:64,-21,42,FR1,2015
18,FC Évian Thonon Gaillard,38,11,4,23,41:62,-21,37,FR1,2015
19,FC Metz,38,7,9,22,31:61,-30,30,FR1,2015
20,RC Lens,38,7,8,23,32:61,-29,29,FR1,2015
