Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Internazionale,38,23,7,8,68:30,38,76,IT1,2006
2,AS Roma,38,19,12,7,70:42,28,69,IT1,2006
3,AC Milan,38,28,4,6,85:31,54,58,IT1,2006
4,Chievo Verona,38,13,15,10,54:49,5,54,IT1,2006
5,US Palermo,38,13,13,12,50:52,-2,52,IT1,2006
6,AS Livorno,38,12,13,13,37:44,-7,49,IT1,2006
7,Parma FC,38,12,9,17,46:60,-14,45,IT1,2006
8,Empoli FC ,38,13,6,19,47:61,-14,45,IT1,2006
9,ACF Fiorentina,38,22,8,8,66:41,25,44,IT1,2006
10,Ascoli Calcio 1898,38,9,16,13,43:53,-10,43,IT1,2006
11,Udinese Calcio,38,11,10,17,40:54,-14,43,IT1,2006
12,UC Sampdoria,38,10,11,17,47:51,-4,41,IT1,2006
13,Reggina Calcio,38,11,8,19,39:65,-26,41,IT1,2006
14,Cagliari Calcio,38,8,15,15,42:55,-13,39,IT1,2006
15,AC Siena,38,9,12,17,42:60,-18,39,IT1,2006
16,SS Lazio,38,16,14,8,57:47,10,32,IT1,2006
17,FC Messina Peloro,38,6,13,19,33:59,-26,31,IT1,2006
18,US Lecce,38,7,8,23,30:57,-27,29,IT1,2006
19,Treviso FBC 1993,38,3,12,23,24:56,-32,21,IT1,2006
20,Juventus FC,38,27,10,1,71:24,47,0,IT1,2006
