Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Feyenoord Rotterdam,34,26,4,4,86:25,61,82,NL1,2017
2,Ajax Amsterdam,34,25,6,3,79:23,56,81,NL1,2017
3,PSV Eindhoven,34,22,10,2,68:23,45,76,NL1,2017
4,FC Utrecht,34,18,8,8,54:38,16,62,NL1,2017
5,Vitesse Arnhem,34,15,6,13,51:40,11,51,NL1,2017
6,AZ Alkmaar,34,12,13,9,56:52,4,49,NL1,2017
7,Twente Enschede FC,34,12,9,13,48:50,-2,45,NL1,2017
8,FC Groningen,34,10,13,11,55:51,4,43,NL1,2017
9,SC Heerenveen,34,12,7,15,54:53,1,43,NL1,2017
10,Heracles Almelo,34,12,7,15,53:55,-2,43,NL1,2017
11,ADO Den Haag,34,11,5,18,37:59,-22,38,NL1,2017
12,Excelsior Rotterdam,34,9,10,15,43:60,-17,37,NL1,2017
13,Willem II Tilburg,34,9,9,16,29:44,-15,36,NL1,2017
14,PEC Zwolle,34,9,8,17,39:67,-28,35,NL1,2017
15,Sparta Rotterdam,34,9,7,18,42:61,-19,34,NL1,2017
16,NEC Nijmegen,34,9,7,18,32:59,-27,34,NL1,2017
17,Roda JC Kerkrade,34,7,12,15,26:51,-25,33,NL1,2017
18,Go Ahead Eagles,34,6,5,23,32:73,-41,23,NL1,2017
