Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Porto,34,28,4,2,82:18,64,88,PO1,2018
2,SL Benfica,34,25,6,3,80:22,58,81,PO1,2018
3,Sporting CP,34,24,6,4,63:24,39,78,PO1,2018
4,SC Braga,34,24,3,7,74:29,45,75,PO1,2018
5,Rio Ave FC,34,15,6,13,40:42,-2,51,PO1,2018
6,GD Chaves,34,13,8,13,47:55,-8,47,PO1,2018
7,CS Marítimo,34,13,8,13,36:49,-13,47,PO1,2018
8,Boavista FC,34,13,6,15,35:44,-9,45,PO1,2018
9,Vitória Guimarães SC,34,13,4,17,45:56,-11,43,PO1,2018
10,Portimonense SC,34,10,8,16,52:60,-8,38,PO1,2018
11,CD Tondela,34,10,8,16,41:50,-9,38,PO1,2018
12,CF Os Belenenses,34,9,10,15,33:46,-13,37,PO1,2018
13,Desportivo Aves (- 2020),34,9,7,18,36:51,-15,34,PO1,2018
14,Moreirense FC,34,8,8,18,29:50,-21,32,PO1,2018
15,Vitória Setúbal FC,34,7,11,16,39:62,-23,32,PO1,2018
16,CD Feirense,34,9,4,21,32:48,-16,31,PO1,2018
17,FC Paços de Ferreira,34,7,9,18,33:59,-26,30,PO1,2018
18,GD Estoril Praia,34,8,6,20,29:61,-32,30,PO1,2018
